Date,Open,High,Low,Close,Volume
2000-01-03,29.0084,30.4473,29.0084,30.3213,82678026.806007
2000-01-04,29.7488,30.6289,28.6607,28.8824,73092793.476568
2000-01-05,28.9273,29.9276,28.0531,29.1402,75054651.806997
2000-01-06,28.4848,29.0533,27.2238,27.4367,79040546.20593
2000-01-07,27.004,28.5747,26.9561,28.5747,58876405.87016
2000-01-10,29.8826,30.4052,29.317,29.8826,76817953.122928
2000-01-11,30.8448,32.1918,30.7521,31.2345,151117601.38514
2000-01-12,31.6761,33.0231,31.1046,31.8021,139434123.28268
2000-01-13,32.2847,32.4175,31.1046,31.7152,109030029.37857
2000-01-14,34.335,37.1257,34.2421,35.9057,264186537.37633
2000-01-18,34.9406,36.82,34.9406,35.558,146273555.71721
2000-01-19,35.2083,35.558,34.8156,34.8605,65282606.806661
2000-01-20,34.7696,35.1164,33.24,33.3298,100287766.31052
2000-01-21,33.4627,34.2421,33.3298,34.1191,79594980.067734
2000-01-24,35.599,36.5123,34.2421,34.4189,107208285.94374
2000-01-25,34.6358,35.4661,33.9355,35.3811,73612844.081145
2000-01-26,35.1164,35.2492,33.5887,33.6385,70638106.752987
2000-01-27,34.6358,35.2492,33.2888,34.2031,88081665.97417
2000-01-28,33.8984,34.4189,32.4175,32.7643,77252041.489486
2000-01-31,32.6334,34.5118,32.3754,34.4668,98068891.44315
2000-02-01,34.2861,35.3333,33.6766,35.3333,68840425.251043
2000-02-02,35.2083,35.8646,34.7267,34.8605,74612826.030265
2000-02-03,35.425,36.4722,35.1164,36.2964,80408435.968798
2000-02-04,36.3823,37.7333,36.3384,36.5123,80161729.495084
2000-02-07,36.5611,37.6932,36.2964,37.6092,61331380.264059
2000-02-08,37.9081,38.3516,37.6503,37.9081,54477624.714185
2000-02-09,37.6932,37.9599,36.4263,36.4722,55321737.466941
2000-02-10,36.3823,37.6932,35.9457,37.5174,62376061.67606
2000-02-11,37.3856,37.9081,36.6871,36.9108,54090811.534773
2000-02-14,37.0378,38.3057,36.82,38.3057,49245906.950846
2000-02-15,38.3057,39.3529,36.6871,39.0442,89928912.764683
2000-02-16,38.8253,39.3529,37.3025,37.3426,65973142.51195
2000-02-17,37.9599,39.1712,37.6092,38.3516,69726086.401779
2000-02-18,38.3516,38.5255,36.6461,36.7291,72162155.430012
2000-02-22,36.5611,37.2126,35.3811,37.2126,65605814.133789
2000-02-23,36.6871,38.7404,36.3384,37.999,58511943.957796
2000-02-24,39.1712,40.6178,38.4298,39.8296,122272794.23633
2000-02-25,39.7054,40.2203,39.3049,39.4808,66329860.871714
2000-02-28,38.9152,39.9203,37.7333,39.1712,67939008.775806
2000-02-29,39.4379,40.3111,38.7804,39.3948,63629625.521854
2000-03-01,39.3529,40.7516,39.222,40.4019,58470398.631029
2000-03-02,40.2203,40.7907,39.7865,40.3492,52248149.042057
2000-03-03,40.7907,41.7499,40.3111,41.5741,49118109.668268
2000-03-06,41.1433,41.4501,40.6589,40.9148,40159805.168098
2000-03-07,41.0516,41.8378,40.1362,40.3492,57197062.313667
2000-03-08,40.485,40.57,39.1331,40.0513,66461951.71056
2000-03-09,39.6137,41.3191,39.0442,41.2674,54978762.786933
2000-03-10,41.0955,42.0547,40.9148,41.8809,62316464.780941
2000-03-13,41.3993,43.7095,41.3993,42.5353,96616198.313435
2000-03-14,43.2787,43.7603,41.0516,41.0955,81352543.333383
2000-03-15,41.4882,42.884,41.3544,41.8809,70049863.950854
2000-03-16,42.93,43.6664,41.706,43.5853,78756311.552517
2000-03-17,43.3168,45.287,43.1927,45.2381,87177667.63224
2000-03-20,45.287,47.856,45.287,47.0306,93356077.698069
2000-03-21,47.0306,48.3786,46.7248,48.2468,73395655.03897
2000-03-22,48.9012,50.6468,48.5974,50.213,76923102.254502
2000-03-23,49.5996,50.0842,48.5974,49.6905,65319567.835629
2000-03-24,48.8191,50.339,47.9478,48.4714,67188020.330609
2000-03-27,48.6423,50.0842,48.4714,49.7324,51240140.988708
2000-03-28,48.9969,49.6905,47.0736,47.2875,64265146.582346
2000-03-29,47.5483,47.9889,45.8056,45.9346,87857310.767503
2000-03-30,45.1972,46.4591,42.884,44.2418,102644178.30174
2000-03-31,45.1551,46.9837,44.6716,45.9854,83726718.198909
2000-04-03,45.7608,46.3351,43.7993,45.5058,71734647.649932
2000-04-04,45.8056,46.6829,41.4882,46.2442,125129487.43178
2000-04-05,45.2381,46.6829,44.4987,45.2381,88969611.083902
2000-04-06,45.0232,45.8516,44.2418,45.2381,78987254.511826
2000-04-07,45.7608,47.729,45.7608,47.6831,73576455.321599
2000-04-10,47.897,48.4714,45.5849,45.6767,64252538.227794
2000-04-11,45.287,46.7669,44.4078,45.5459,76032006.07987
2000-04-12,45.287,45.9346,42.4034,42.4474,86201464.040638
2000-04-13,42.9699,45.0232,42.0977,42.1856,99446231.329505
2000-04-14,41.5322,42.0977,37.7783,38.5255,132949702.63702
2000-04-17,38.3516,42.93,38.1748,42.8421,127323718.88321
2000-04-18,44.108,45.6367,43.6244,44.9373,141198278.39592
2000-04-19,43.7603,43.7993,41.4501,41.4882,125181058.22268
2000-04-20,41.0955,41.6151,40.0943,40.2203,65613550.520226
2000-04-24,38.6993,40.6178,38.4747,40.485,83551939.541928
2000-04-25,41.706,43.6244,41.662,43.5434,73555251.664608
2000-04-26,43.2787,43.5434,42.0547,42.0977,68153620.046239
2000-04-27,40.9675,44.108,40.7907,43.6664,87517773.798976
2000-04-28,44.5914,44.9773,43.8413,44.1901,63518166.070576
2000-05-01,44.5914,45.6367,43.9732,44.2808,60729386.616005
2000-05-02,43.8413,44.4567,42.0977,42.2295,62851989.182129
2000-05-03,41.8809,42.0547,40.4019,41.4882,84509516.224543
2000-05-04,41.3993,42.0547,40.7907,41.662,58716522.597943
2000-05-05,41.4882,43.1927,41.4882,43.011,49021266.121338
2000-05-08,42.6222,42.7532,40.9675,41.0076,58649189.316387
2000-05-09,41.2674,41.5741,40.0943,40.7516,61680944.744185
2000-05-10,39.9203,40.6178,36.6461,36.9528,139289422.0418
2000-05-11,37.3426,40.441,37.0768,40.2681,100668280.43134
2000-05-12,40.6589,41.662,40.0044,40.0943,55055554.381879
2000-05-15,39.9203,41.2215,39.3049,41.1844,58889300.871293
2000-05-16,41.7499,42.8421,41.3544,42.4953,63707277.056539
